"","TEAM","PTS","AGE","MIN","FGA","X3PM","REB","AST","KG","CM"
"1","DEN",12.4,25,27.7,10,1.2,5.7,3.2,107,203
"2","IND",7.2,24,17.8,6.6,1,1.3,1.9,84,183
"3","BOS",4.7,21,14.5,3.9,0.9,2.8,0.5,98,196
"4","PHX",6.7,27,14.8,4.8,0.8,2.6,0.8,102,196
"5","CHI",1.1,22,4,1.4,0.1,0.4,0.4,86,193
"6","OKC",14.2,35,27.9,12.9,2,6.7,3.4,109,206
"7","CHI",4.4,30,18.9,4.3,0.3,4.8,1.3,97,198
"8","NYK",12.7,29,25.6,10.2,2.1,4.6,2.2,86,213
"9","OKC",8.2,19,24.2,9.1,1.3,4.7,2.2,98,208
"10","GSW",1.9,20,5.6,1.8,0.3,1.1,0.3,84,193
"11","LAL",6.4,27,21,5.3,0.9,2.9,2.8,113,213
"12","WAS",6.6,28,15.3,4.3,0.1,4.1,0.8,100,203
"13","LAL",3.1,28,6.6,2.4,0.4,1.4,0.2,98,201
"14","BKN",5.2,25,10.5,3.8,0.1,5,0.8,96,201
"15","IND",2.6,27,5.9,1.6,0,1.6,0.2,104,208
"16","LAC",3.2,24,9,2.3,0.5,1,0.5,95,201
"17","CLE",2.6,38,7.2,3.2,0,4,0.6,118,211
"18","LAL",14.9,27,27,12.4,0,12,2,127,208
"19","MIA",4.4,37,21.3,3.9,1,3.5,2.3,98,198
"20","BKN",1.2,29,12.6,2.8,0.2,3,0.8,95,201
"21","GSW",18.6,26,33.3,14.9,2,4.9,2.4,89,201
"22","POR",7.8,22,17.3,6.3,1.9,2.2,1.4,82,191
"23","LAL",21.8,28,32.3,17,0.7,7.9,3.1,115,208
"24","MIN",19.3,19,32.1,16.8,2.4,4.7,2.9,102,193
"25","WAS",3.1,28,8.4,2.3,0.3,2,0.4,104,201
"26","HOU",5.5,23,17.3,4.9,1,2.9,1,103,198
"27","PHI",1.5,36,9,1.5,0.4,0.9,0.2,109,203
"28","WAS",0,25,6.3,1,0,1,1,104,216
"29","HOU",11.2,23,26,9.6,3,3.4,1.5,88,191
"30","TOR",6.1,34,18.5,5.7,0.5,5.2,0.9,118,208
"31","MIN",0,21,2,0,0,0,0,86,191
"32","DEN",7.9,28,23.5,6.8,1.5,2.3,2.3,91,193
"33","HOU",6.4,30,22.3,6.3,1.2,2.1,1.7,82,191
"34","MIL",1.8,28,7.7,1.4,0.1,0.8,0.5,95,201
"35","MIA",18.7,23,33.5,12.5,0,9,5.4,116,206
"36","LAL",7.7,28,17.1,6.9,1.8,1.9,0.7,88,191
"37","PHI",14.3,24,32.4,10.1,0.1,7.2,6.9,109,211
"38","CHA",5,28,20.4,3.7,0,5.3,1.2,116,203
"39","BKN",11,32,25.8,8.9,1.5,4.9,3,113,206
"40","DAL",4.7,32,8.2,3.7,0,3.9,0.3,132,224
"41","MIL",11.4,26,20.8,9.1,1.1,7.1,1.1,113,208
"42","ATL",16.4,28,29.7,12.8,3.3,3.6,3.3,100,198
"43","UTA",17,32,30.8,12.8,2.5,3.9,1.9,103,201
"44","DEN",2.2,21,5,1.8,0.3,0.8,0.2,100,218
"45","CHA",5.5,31,17.3,4.9,0.3,1.7,2.9,95,191
"46","WAS",31.3,28,35.8,23,2.2,4.7,4.4,94,191
"47","MEM",10.3,24,24,8.4,0.3,5.6,1.6,98,203
"48","ATL",4.9,25,13.2,4.7,0.7,1.5,2,82,183
"49","NOP",23.8,23,34.3,18,2.3,4.9,4.9,86,203
"50","IND",0.5,22,2.5,0.7,0,0.5,0,86,198
"51","CLE",3.9,24,12.5,3.4,0.5,1.7,0.9,84,196
"52","MIL",12.3,33,27.2,9.1,1.4,5,0.7,128,213
"53","BKN",8.8,24,22.3,6.5,0.3,5.4,1.6,92,193
"54","HOU",2.8,25,6.1,2.8,0,2.3,0.2,99,206
"55","ATL",1.5,22,6.8,1.3,0,2.4,0.3,109,206
"56","MIL",10,27,19.3,7.6,2.2,1.6,0.6,93,188
"57","SAC",16.6,28,34.3,14,4,4.7,3.6,100,193
"58","POR",2.3,21,6.4,2.2,0.2,1.1,0.3,93,196
"59","POR",23.1,29,34,18.8,3.6,3.9,4.7,99,203
"60","CHA",5,25,15.4,4.8,0.6,2.7,1.3,95,203
"61","ATL",11.2,21,28.9,10.1,1.3,4,1.3,102,203
"62","PHX",9.6,25,24,8.1,2,3.3,1.4,83,185
"63","HOU",10.8,24,21.8,8.3,1,5.3,1.3,102,201
"64","PHX",8.4,26,18,6.6,1.2,2.4,3.6,93,198
"65","HOU",3,26,8.1,3.6,0.6,1,0.4,108,201
"66","IND",20.2,26,31.6,17.3,1.8,4.6,5.2,91,180
"67","POR",13.4,37,24.5,11.3,1.9,3.1,1.5,86,196
"68","BOS",4,23,8.9,3.6,0.6,0.8,0.5,84,185
"69","IND",1.5,21,3.9,1.8,0.1,0.8,0,104,201
"70","WAS",1.9,23,4.5,1.5,0.4,0.4,0.5,95,198
"71","CLE",10.4,26,25.6,9.9,1.7,3.4,2.9,90,198
"72","WAS",4.3,25,13.8,4.1,0.3,3.1,0.7,84,188
"73","OKC",4.4,24,16.9,4.8,0.6,1.9,1,102,206
"74","ORL",6.5,28,20.4,5.8,1.1,2,1.8,91,206
"75","SAC",6.3,24,13.6,5,0.4,3.1,0.8,79,180
"76","TOR",13.6,28,24.2,9.3,1.5,6.7,1.1,79,183
"77","BKN",4,25,10.6,4,0.6,1.1,3,106,203
"78","PHX",16.4,36,31.4,12.6,1.5,4.5,8.9,97,208
"79","SAC",2.1,24,6.2,1.1,0.1,1.8,0.4,104,198
"80","HOU",21,25,32.3,15.6,1.9,9.6,1.7,91,198
"81","ORL",7.8,22,25.2,7.2,1.1,4,2.2,86,191
"82","ATL",15.2,27,30.1,11,0,14.3,0.8,109,208
"83","CHI",15.1,21,31.2,13.1,2.4,4.1,4.8,88,196
"84","CHA",4,25,16.3,3.6,0.3,3.1,1.7,93,196
"85","CHA",9.4,28,20.9,6.8,0.1,6.8,1.8,109,211
"86","ORL",12.9,21,27.1,11.7,1.2,4.7,4.1,84,188
"87","CLE",24.3,22,35.3,18.4,1.6,3.1,4.4,86,185
"88","DET",8.2,29,23,6.8,0.7,2.5,3.4,91,191
"89","CHI",1.3,28,4.6,0.7,0,1.4,0.5,122,211
"90","MIN",19,25,28.5,15.5,2.9,2.6,5.8,83,180
"91","HOU",7.7,33,19.8,6,1.5,1.6,3.3,105,208
"92","HOU",5.2,25,12.4,4.8,0.9,3.2,0.7,91,193
"93","SAS",4.1,23,15.9,3.9,0.6,2.3,0.7,111,211
"94","PHI",6,25,15.4,6,1,0.9,1.6,88,188
"95","SAC",4.7,26,14,2.6,0,3.1,0.7,95,196
"96","POR",28.8,30,35.8,19.9,4.1,4.2,7.5,95,196
"97","GSW",6.5,28,18.9,4.8,1.4,3.2,1.3,88,193
"98","CLE",6.7,27,19.7,6.4,1,2,2,106,208
"99","WAS",7,22,14.7,4.2,0,4.3,0.5,109,203
"100","LAC",1.8,21,5.4,1.7,0,1.6,0.3,111,203
"101","CHI",9.6,29,24.6,7.2,0.8,5.5,1.7,106,208
"102","ATL",13.3,32,24,9.3,2,4.1,1.5,98,198
"103","PHI",9.5,34,28,7.9,2.5,3.8,1.7,97,196
"104","HOU",3.8,25,19.4,4.3,0.3,2.8,2.2,100,198
"105","HOU",8.8,28,25.9,7.6,1.5,3.7,1.9,104,196
"106","PHX",8.7,27,17.4,6.8,0.9,3.8,1.3,102,208
"107","OKC",13.7,21,31.2,12.5,1.5,7.2,1.8,94,203
"108","CLE",17.4,21,33.1,14.9,1.9,2.4,6.1,87,185
"109","OKC",4.1,31,10.9,2.7,0.9,1.3,1.2,102,198
"110","HOU",9.2,28,22.6,7.3,0.6,3.9,1,99,196
"111","WAS",11.5,28,25.7,8.4,3,2.9,0.9,102,208
"112","SAC",25.2,23,35.1,19.1,1.8,3.5,7.2,84,191
"113","ATL",15,23,29.5,10.8,1.3,4.8,1.9,103,206
"114","MEM",9.1,23,20.1,7.6,1.7,3.1,2.5,113,211
"115","BKN",7.5,32,21.9,4.4,0,7.5,1.6,95,196
"116","TOR",5.7,26,19.1,4.5,0.3,2.9,2.1,102,203
"117","SAS",21.6,31,33.7,15.1,0.3,4.2,6.9,120,211
"118","LAC",8.9,30,17.4,7.4,1.1,6.4,1.9,91,188
"119","CLE",6,24,19.2,4.9,1.2,3.4,1.2,86,203
"120","PHX",14.4,22,30.6,10,0.1,10.5,1.4,82,193
"121","DET",2.1,21,6.7,2,0.5,1.5,0.3,84,196
"122","SAS",15.7,24,31.9,14.5,0.9,7.1,5.4,100,198
"123","SAC",10.2,29,27.7,8.2,1,4.3,4.4,122,208
"124","WAS",6.3,20,23.3,5.8,1,4.9,1.2,95,206
"125","LAL",15.4,27,32.1,12.5,1.2,3.5,5.8,78,191
"126","DET",6.7,23,18.3,6.3,0.8,2.4,3.3,93,188
"127","CHI",6.5,27,16.7,6.7,1.3,3.2,1.7,100,193
"128","UTA",5.4,29,15.3,3.6,0,5.5,0.6,120,206
"129","POR",6.8,24,22.7,5.2,0.7,3.5,0.8,95,196
"130","NYK",14.7,32,25.6,12.2,1,2.6,4.2,91,188
"131","SAS",15.4,26,29.5,12.6,2.3,3,3.5,86,193
"132","MEM",9.2,23,22.3,7.3,1.7,3.1,1.7,98,196
"133","PHX",25.6,24,33.9,19.2,1.9,4.2,4.3,93,196
