"","PTS","AGE","MIN","FGA","X3PM","REB","AST","WEIGHT","HEIGHT"
"1",12.4,25,27.7,10,1.2,5.7,3.2,107,203
"2",7.2,24,17.8,6.6,1,1.3,1.9,84,183
"3",4.7,21,14.5,3.9,0.9,2.8,0.5,98,196
"4",6.7,27,14.8,4.8,0.8,2.6,0.8,102,196
"5",1.1,22,4,1.4,0.1,0.4,0.4,86,193
"6",14.2,35,27.9,12.9,2,6.7,3.4,109,206
"7",12.7,29,25.6,10.2,2.1,4.6,2.2,97,198
"8",8.2,19,24.2,9.1,1.3,4.7,2.2,86,213
"9",1.9,20,5.6,1.8,0.3,1.1,0.3,98,208
"10",6.4,27,21,5.3,0.9,2.9,2.8,84,193
"11",6.6,28,15.3,4.3,0.1,4.1,0.8,113,213
"12",4.4,30,18.9,4.3,0.3,4.8,1.3,100,203
"13",3.1,28,6.6,2.4,0.4,1.4,0.2,98,201
"14",5.2,25,10.5,3.8,0.1,5,0.8,96,201
"15",3.2,24,9,2.3,0.5,1,0.5,95,201
"16",4.4,37,21.3,3.9,1,3.5,2.3,98,198
"17",1.2,29,12.6,2.8,0.2,3,0.8,95,201
"18",18.6,26,33.3,14.9,2,4.9,2.4,89,201
"19",7.8,22,17.3,6.3,1.9,2.2,1.4,82,191
"20",21.8,28,32.3,17,0.7,7.9,3.1,115,208
"21",19.3,19,32.1,16.8,2.4,4.7,2.9,102,193
"22",3.1,28,8.4,2.3,0.3,2,0.4,104,201
"23",5.5,23,17.3,4.9,1,2.9,1,103,198
"24",1.5,36,9,1.5,0.4,0.9,0.2,109,203
"25",11.2,23,26,9.6,3,3.4,1.5,88,191
"26",6.1,34,18.5,5.7,0.5,5.2,0.9,118,208
"27",7.9,28,23.5,6.8,1.5,2.3,2.3,91,193
"28",6.4,30,22.3,6.3,1.2,2.1,1.7,82,191
"29",1.8,28,7.7,1.4,0.1,0.8,0.5,95,201
"30",7.7,28,17.1,6.9,1.8,1.9,0.7,88,191
"31",14.3,24,32.4,10.1,0.1,7.2,6.9,109,211
"32",11,32,25.8,8.9,1.5,4.9,3,113,206
"33",11.4,26,20.8,9.1,1.1,7.1,1.1,113,208
"34",16.4,28,29.7,12.8,3.3,3.6,3.3,100,198
"35",17,32,30.8,12.8,2.5,3.9,1.9,103,201
"36",2.2,21,5,1.8,0.3,0.8,0.2,100,218
"37",5.5,31,17.3,4.9,0.3,1.7,2.9,95,191
"38",31.3,28,35.8,23,2.2,4.7,4.4,94,191
"39",10.3,24,24,8.4,0.3,5.6,1.6,98,203
"40",4.9,25,13.2,4.7,0.7,1.5,2,82,183
"41",23.8,23,34.3,18,2.3,4.9,4.9,86,203
"42",3.9,24,12.5,3.4,0.5,1.7,0.9,84,196
"43",12.3,33,27.2,9.1,1.4,5,0.7,128,213
"44",8.8,24,22.3,6.5,0.3,5.4,1.6,92,193
"45",10,27,19.3,7.6,2.2,1.6,0.6,93,188
"46",16.6,28,34.3,14,4,4.7,3.6,100,193
"47",5,25,15.4,4.8,0.6,2.7,1.3,93,196
"48",11.2,21,28.9,10.1,1.3,4,1.3,99,203
"49",9.6,25,24,8.1,2,3.3,1.4,95,203
"50",10.8,24,21.8,8.3,1,5.3,1.3,102,203
"51",8.4,26,18,6.6,1.2,2.4,3.6,83,185
"52",3,26,8.1,3.6,0.6,1,0.4,102,201
"53",20.2,26,31.6,17.3,1.8,4.6,5.2,93,198
"54",13.4,37,24.5,11.3,1.9,3.1,1.5,108,201
"55",4,23,8.9,3.6,0.6,0.8,0.5,91,180
"56",1.9,23,4.5,1.5,0.4,0.4,0.5,84,185
"57",10.4,26,25.6,9.9,1.7,3.4,2.9,104,201
"58",4.3,25,13.8,4.1,0.3,3.1,0.7,95,198
"59",4.4,24,16.9,4.8,0.6,1.9,1,90,198
"60",6.5,28,20.4,5.8,1.1,2,1.8,84,188
"61",6.3,24,13.6,5,0.4,3.1,0.8,102,206
"62",13.6,28,24.2,9.3,1.5,6.7,1.1,91,206
"63",4,25,10.6,4,0.6,1.1,3,79,180
"64",16.4,36,31.4,12.6,1.5,4.5,8.9,79,183
"65",2.1,24,6.2,1.1,0.1,1.8,0.4,106,203
"66",21,25,32.3,15.6,1.9,9.6,1.7,97,208
"67",7.8,22,25.2,7.2,1.1,4,2.2,104,198
